country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,1007.6,969.7,923.7,916.3,896.9,889.4,914.8,888,879,855.9,854.4,871.7,859,862,847.5,826.3,843.8,811.1,809.4,753.6,783.2,763.7,773,797.6,751.1,755.6,770.5,760.9,734.4,681.4,604.8
Greece,81.5,81.5,84.2,85.4,86.7,88.7,89.9,93.3,98.8,97.3,102.6,104.7,103.7,107.5,107.4,107.8,108.3,112.8,107.8,102.7,94.6,94.5,88.2,79.1,75.6,73.2,69.8,74,72.1,76.7,58.2
Hungary,70.9,65.6,62.1,58.8,58.2,57.9,58.8,57.2,57.9,58.6,55.3,56.7,55.9,58,57.3,57.5,57.4,55.4,54.2,48.2,48.7,48.7,44.6,42.1,41.3,43.8,44.9,46.9,47.3,47.2,45.5
Iceland,2.2,2.1,2.2,2.3,2.3,2.4,2.6,2.6,2.6,2.6,2.8,2.7,2.8,2.8,2.9,2.9,3,3.1,2.8,2.6,2.5,2.5,2.5,2.7,2.7,2.9,3.2,3.6,3.7,3.3,2.6
Ireland,31,31.6,31.8,32.2,33.1,33.9,35.7,37.4,40,42.1,43.6,46.4,45.7,45.3,45.5,47.7,47.5,48.4,47.9,42.9,42.5,38.6,38.7,37.4,37,38.9,40.4,39.3,39.1,37.4,32.8
Italy,403.8,407.2,403.6,396.5,393.4,413.1,407.9,414.5,426.3,427.2,434.4,429.5,433,450.8,468.3,470.2,467.1,458,442.5,391.5,397.1,388.5,371,341.4,318.8,334.4,331.1,335.2,335.9,330.2,287.1
Latvia,18.4,17.6,12.8,10.8,9.9,9.1,9.2,8.3,8,7.4,6.9,7.7,7.9,7.9,8.5,8.7,8.4,8.8,8.6,7.9,9.2,8.3,8,8,7.7,7.8,8.2,8,8,8.4,7.3
Lithuania,36.1,39,20.7,16.4,15.4,14.3,14.8,14.1,14.7,12.7,10.9,12.1,11.6,11.8,12.3,13.1,13.4,13.1,13.3,12,13.2,12.4,12.4,11.7,11,11.3,11.7,11.9,12.5,12.5,11.9
Luxembourg,10.3,11,11,11.1,10.6,8.7,8.9,8.5,8,8.5,9,9.7,10.5,11,12.5,12.8,12.5,12,11.9,11.4,12,11.7,11.4,10.9,10.5,10.1,10,10.3,10.8,10.9,8.8
Netherlands,191.9,199.6,200.1,205,202.2,208.6,219.6,217.2,218.1,215.1,216.2,225.9,226,225.4,231.4,233.1,231.6,229.1,227.2,217.7,226.5,219.4,212.2,208.2,197.6,206.8,210,202.9,198.6,194,175.8
North Macedonia,8.8,8.5,8.7,9.1,8.5,8.4,9.6,8.6,9.9,9.1,8.7,8.8,8.3,9,8.7,9.1,9.1,9.5,9.4,8.7,8.5,9.3,8.9,7.9,7.5,7.2,7.1,7.5,7.1,8.1,7.2
Norway,29,27.3,28.9,29.8,31.6,31.6,34.3,35.5,36.5,36.2,33.9,36.3,35.7,37.1,37.7,36.6,36.9,36.5,36.1,36.2,37.5,37.1,36.8,36.1,35.4,35.5,34.3,34.1,34.7,33.6,31.7
Poland,373.5,368.4,353.1,352.2,334.3,341.3,355,350.5,330.9,323.8,299.8,297.9,294.4,303.5,301.9,307.2,320.7,317.5,319.5,305.3,323.8,324,308.1,310.4,293.3,293.3,306,315.5,320.2,301.4,279.5
Portugal,39.1,42.1,46,45.2,45.6,53,50.4,50.9,56.7,62.2,61.3,60.2,63.4,59.9,62.1,64.6,59.6,58.4,57.5,56.9,51.5,51.4,50.7,49.3,49.6,53.1,52.5,57.3,54.3,50.7,41.3
